PCDS,LAT,LONG,pcds_clean
DA6 7EZ,51.45676,0.141983,DA67EZ
DA6 8LX,51.45045,0.137385,DA68LX
DA6 8NW,51.45623,0.136244,DA68NW
DA7 4AL,51.46184,0.135153,DA74AL
DA7 4BT,51.45947,0.136655,DA74BT
DA7 4DU,51.46517,0.138289,DA74DU
DA7 4HD,51.46286,0.128593,DA74HD
DA7 4HT,51.45795,0.146516,DA74HT
DA7 4LP,51.46038,0.146601,DA74LP
DA7 5PB,51.47615,0.141006,DA75PB
DA7 6BA,51.45381,0.163968,DA76BA
DA7 6ST,51.46692,0.175517,DA76ST
DA8 1AB,51.48268,0.176282,DA81AB
DA8 1AT,51.48495,0.172184,DA81AT
DA8 1QL,51.48194,0.170874,DA81QL
DA8 1QX,51.48076,0.166253,DA81QX
DA8 1RB,51.48014,0.179027,DA81RB
DA8 1TA,51.48012,0.179127,DA81TA
DA8 2BD,51.47735,0.185706,DA82BD
DA8 2DR,51.4654,0.189958,DA82DR
DA8 2HJ,51.47218,0.18445,DA82HJ
DA8 2HN,51.47264,0.187338,DA82HN
DA8 2JD,51.47278,0.194473,DA82JD
DA8 2LQ,51.47123,0.188278,DA82LQ
DA8 3FP,51.4742,0.180918,DA83FP
DA8 3PS,51.47055,0.179361,DA83PS
DA9 9DD,51.44547,0.263682,DA99DD
DE1 1BT,52.92434,-1.488973,DE11BT
DE1 1BX,52.92389,-1.484665,DE11BX
DE1 1DA,52.92419,-1.485524,DE11DA
DE1 1DB,52.92244,-1.48968,DE11DB
DE1 1DJ,52.92529,-1.489557,DE11DJ
DE1 1EE,52.92429,-1.483634,DE11EE
DE1 1FR,52.92458,-1.490502,DE11FR
DE1 1GU,52.92374,-1.495569,DE11GU
DE1 1JQ,52.92131,-1.483848,DE11JQ
DE1 1LR,52.92109,-1.490662,DE11LR
DE1 1NN,52.92055,-1.477253,DE11NN
DE1 1PL,52.91887,-1.480024,DE11PL
DE1 1RZ,52.91834,-1.478023,DE11RZ
DE1 1TJ,52.91463,-1.481711,DE11TJ
DE1 1TQ,52.9144,-1.482814,DE11TQ
DE1 1UL,52.92329,-1.491737,DE11UL
DE1 1UP,52.92307,-1.490936,DE11UP
DE1 2BU,52.92863,-1.46881,DE12BU
DE1 2FS,52.92321,-1.473993,DE12FS
DE1 2GG,52.91486,-1.477083,DE12GG
DE1 2JH,52.9175,-1.474107,DE12JH
DE1 2JT,52.91868,-1.47619,DE12JT
DE1 2SX,52.91321,-1.463719,DE12SX
DE1 3AF,52.92449,-1.475197,DE13AF
DE1 3BY,52.92775,-1.47733,DE13BY
DE1 3DS,52.92576,-1.478707,DE13DS
DE1 3DY,52.92513,-1.477406,DE13DY
DE1 3FG,52.92995,-1.477943,DE13FG
DE1 3GP,52.92449,-1.478113,DE13GP
DE1 3RL,52.93021,-1.475619,DE13RL
DE11 0AH,52.77413,-1.560252,DE110AH
DE11 0EG,52.78186,-1.562028,DE110EG
DE11 8ED,52.76817,-1.545609,DE118ED
DE11 8HL,52.77195,-1.552492,DE118HL
DE11 9BX,52.77263,-1.563158,DE119BX
DE11 9HZ,52.75538,-1.580547,DE119HZ
DE12 7NB,52.70938,-1.507944,DE127NB
DE12 7PD,52.71021,-1.512523,DE127PD
DE13 9PD,52.81775,-1.760098,DE139PD
DE14 1DP,52.80518,-1.634287,DE141DP
DE14 1EF,52.80307,-1.639081,DE141EF
DE14 1EX,52.80277,-1.629664,DE141EX
DE14 1HJ,52.80077,-1.630141,DE141HJ
DE14 1NA,52.80457,-1.634277,DE141NA
DE14 1PN,52.81031,-1.634615,DE141PN
DE14 2DA,52.80708,-1.643884,DE142DA
DE14 2DH,52.80634,-1.644646,DE142DH
DE14 2EG,52.80898,-1.64418,DE142EG
DE14 2ND,52.81139,-1.642825,DE142ND
DE14 2PY,52.81546,-1.637643,DE142PY
DE14 2UE,52.80399,-1.65892,DE142UE
DE14 2WF,52.79536,-1.669072,DE142WF
DE14 2WQ,52.79929,-1.66615,DE142WQ
DE14 3HL,52.79516,-1.648281,DE143HL
DE14 3JZ,52.79043,-1.669777,DE143JZ
DE14 3NT,52.79874,-1.648104,DE143NT
DE15 0DG,52.80724,-1.592763,DE150DG
DE15 0ES,52.80591,-1.59377,DE150ES
DE15 0YZ,52.79192,-1.57047,DE150YZ
DE15 9QP,52.78792,-1.621754,DE159QP
DE15 9RJ,52.79031,-1.623201,DE159RJ
DE21 4AS,52.93651,-1.469443,DE214AS
DE21 4BP,52.9378,-1.452539,DE214BP
DE21 4NU,52.93773,-1.430058,DE214NU
DE21 4SZ,52.9364,-1.466825,DE214SZ
DE21 6AH,52.92672,-1.457826,DE216AH
DE21 6AL,52.92972,-1.458353,DE216AL
DE21 6ET,52.93056,-1.448376,DE216ET
DE21 6SY,52.91907,-1.425365,DE216SY
DE21 6UE,52.92895,-1.420965,DE216UE
DE21 7NF,52.91481,-1.408899,DE217NF
DE21 7SR,52.91689,-1.42239,DE217SR
DE21 7SS,52.91693,-1.42166,DE217SS
DE22 1JX,52.94001,-1.489339,DE221JX
DE22 1LD,52.93719,-1.491723,DE221LD
DE22 3EX,52.92281,-1.505204,DE223EX
DE22 3LR,52.91914,-1.500843,DE223LR
DE22 3SJ,52.92135,-1.482865,DE223SJ
DE22 3UD,52.91605,-1.484282,DE223UD
DE22 3UE,52.91453,-1.487319,DE223UE
DE22 3WZ,52.91988,-1.493398,DE223WZ
DE22 4BH,52.92548,-1.511807,DE224BH
DE22 4FF,52.92947,-1.518427,DE224FF
DE22 4FS,52.92157,-1.521712,DE224FS
DE22 4LD,52.92574,-1.532093,DE224LD
DE22 4NB,52.93551,-1.536719,DE224NB
DE23 1FZ,52.89241,-1.504702,DE231FZ
DE23 6AD,52.91222,-1.488149,DE236AD
DE23 6QD,52.90596,-1.477622,DE236QD
DE23 6RH,52.91138,-1.476976,DE236RH
DE23 6UQ,52.91448,-1.478456,DE236UQ
DE23 6XX,52.90539,-1.502726,DE236XX
DE23 8AD,52.89407,-1.488184,DE238AD
DE23 8BL,52.89422,-1.48955,DE238BL
DE23 8JQ,52.91182,-1.464287,DE238JQ
DE24 0AB,52.89124,-1.443672,DE240AB
DE24 0FF,52.89091,-1.431771,DE240FF
DE24 0JG,52.8964,-1.427567,DE240JG
DE24 0JL,52.89338,-1.425659,DE240JL
DE24 3GL,52.86985,-1.489866,DE243GL
DE24 3HB,52.87871,-1.50263,DE243HB
DE24 5AG,52.88428,-1.417383,DE245AG
DE24 8AA,52.90854,-1.461561,DE248AA
DE24 8AJ,52.91038,-1.446237,DE248AJ
DE24 8AN,52.91191,-1.447289,DE248AN
DE24 8BF,52.89832,-1.460335,DE248BF
DE24 8DS,52.89618,-1.464108,DE248DS
DE24 8DZ,52.91311,-1.455512,DE248DZ
DE24 8GJ,52.90081,-1.468065,DE248GJ
DE24 8GU,52.89335,-1.454362,DE248GU
DE24 8GW,52.89804,-1.452252,DE248GW
DE24 8GX,52.91131,-1.45372,DE248GX
DE24 8HL,52.89711,-1.449231,DE248HL
DE24 8HQ,52.89539,-1.440869,DE248HQ
DE24 8HY,52.91584,-1.453485,DE248HY
DE24 8JY,52.91233,-1.45228,DE248JY
DE24 8LP,52.89464,-1.450288,DE248LP
DE24 8NZ,52.89605,-1.436341,DE248NZ
DE24 8QN,52.8976,-1.42987,DE248QN
DE24 8RQ,52.90048,-1.438707,DE248RQ
DE24 8UQ,52.90703,-1.452376,DE248UQ
DE24 9FY,52.88695,-1.437722,DE249FY
DE24 9GT,52.88763,-1.480992,DE249GT
DE3 0HP,52.91983,-1.552964,DE30HP
DE3 0PS,52.91254,-1.546109,DE30PS
DE3 9DT,52.91338,-1.527081,DE39DT
DE4 2HJ,53.16829,-1.598004,DE42HJ
DE4 2JW,53.15233,-1.599364,DE42JW
DE4 2RH,53.15435,-1.580055,DE42RH
DE4 3AG,53.14236,-1.551393,DE43AG
DE4 3AQ,53.13859,-1.554856,DE43AQ
DE4 5DD,53.08413,-1.479306,DE45DD
DE5 3EH,53.04896,-1.403532,DE53EH
DE5 3FJ,53.05049,-1.406927,DE53FJ
DE5 3HR,53.04706,-1.405721,DE53HR
DE5 3WT,53.06108,-1.401992,DE53WT
DE55 2BP,53.10714,-1.341977,DE552BP
DE55 5NU,53.14339,-1.342425,DE555NU
DE55 5NX,53.14163,-1.345412,DE555NX
DE55 6HD,53.14196,-1.401886,DE556HD
DE55 7AL,53.09557,-1.398423,DE557AL
DE55 7DQ,53.09649,-1.391316,DE557DQ
DE55 7GR,53.09597,-1.378839,DE557GR
DE56 0SU,53.01031,-1.462638,DE560SU
DE56 1AX,53.02424,-1.484605,DE561AX
DE56 1JR,53.02508,-1.473637,DE561JR
DE56 1LR,53.01903,-1.47055,DE561LR
DE56 2HS,53.06249,-1.442083,DE562HS
DE6 1HE,53.01298,-1.730192,DE61HE
DE6 1TH,53.00452,-1.719933,DE61TH
DE6 2BW,53.0326,-1.809534,DE62BW
DE6 3FA,52.97977,-1.654442,DE63FA
DE65 5BU,52.88272,-1.707536,DE655BU
DE65 5UA,52.86525,-1.619003,DE655UA
DE7 5AT,52.96217,-1.298591,DE75AT
DE7 5FH,52.96689,-1.311066,DE75FH
DE7 5GF,52.97038,-1.310519,DE75GF
DE7 5NY,52.964,-1.302135,DE75NY
DE7 5QE,52.96977,-1.30977,DE75QE
DE7 6EE,52.99894,-1.394937,DE76EE
DE7 6GY,52.97291,-1.371653,DE76GY
DE7 8EF,52.97687,-1.319933,DE78EF
DE7 8FF,52.97601,-1.309119,DE78FF
DE7 8PF,52.98869,-1.305879,DE78PF
DE7 8RP,52.99334,-1.311525,DE78RP
DE72 2DF,52.85726,-1.387892,DE722DF
DE72 2GP,52.86916,-1.352872,DE722GP
DE72 3UY,52.88528,-1.408542,DE723UY
DE73 6TF,52.87083,-1.434499,DE736TF
DE73 6UX,52.86564,-1.431387,DE736UX
DE74 2ED,52.83568,-1.278391,DE742ED
DE74 2NJ,52.84614,-1.336866,DE742NJ
DE74 2TZ,52.82601,-1.310711,DE742TZ
DE75 7AB,53.02388,-1.367455,DE757AB
DE75 7HW,53.01408,-1.337444,DE757HW
DE75 7QL,53.01189,-1.364589,DE757QL
DE75 7RF,53.01225,-1.331182,DE757RF
DH1 1TW,54.78722,-1.539153,DH11TW
DH1 2LH,54.77905,-1.555119,DH12LH
DH1 4DX,54.77308,-1.590844,DH14DX
DH1 5EJ,54.79472,-1.590502,DH15EJ
DH1 5JZ,54.80576,-1.584587,DH15JZ
DH2 1AN,54.87129,-1.591161,DH21AN
DH3 3AZ,54.85285,-1.573187,DH33AZ
DH3 3PD,54.85184,-1.572964,DH33PD
DH3 3PJ,54.85232,-1.568348,DH33PJ
DH3 3QD,54.85564,-1.573126,DH33QD
DH5 0AF,54.8146,-1.447112,DH50AF
DH5 0AX,54.81601,-1.449832,DH50AX
DH5 8JY,54.83313,-1.468468,DH58JY
DH5 9NE,54.82154,-1.455515,DH59NE
DH6 1PA,54.77299,-1.480696,DH61PA
DH6 4LG,54.71843,-1.505532,DH64LG
DH7 6DJ,54.83562,-1.63228,DH76DJ
DH7 6FE,54.81698,-1.626147,DH76FE
DH7 6JS,54.81849,-1.627207,DH76JS
DH7 8EJ,54.75741,-1.610067,DH78EJ
DH7 8RE,54.74477,-1.611416,DH78RE
DH7 8XL,54.74649,-1.609955,DH78XL
DH7 9UZ,54.79824,-1.681226,DH79UZ
DH7 9XA,54.79907,-1.672151,DH79XA
DH8 5HE,54.85314,-1.830627,DH85HE
DH8 5HJ,54.85486,-1.831742,DH85HJ
DH8 5XP,54.84907,-1.837964,DH85XP
DH8 6BN,54.8615,-1.817694,DH86BN
DH8 6BP,54.86063,-1.818212,DH86BP
DH8 6TJ,54.8638,-1.822778,DH86TJ
DH8 7PW,54.85786,-1.811728,DH87PW
DH9 0EJ,54.87572,-1.691135,DH90EJ
DH9 0JL,54.87304,-1.696921,DH90JL
DH9 0JQ,54.87224,-1.697036,DH90JQ
DH9 8LD,54.86363,-1.745723,DH98LD
DL1 1GL,54.52358,-1.54461,DL11GL
DL1 1GY,54.52882,-1.549666,DL11GY
DL1 1QL,54.52982,-1.550706,DL11QL
DL1 1RW,54.5294,-1.513997,DL11RW
DL1 2AF,54.54573,-1.532384,DL12AF
DL1 4PT,54.52324,-1.506361,DL14PT
DL1 4UB,54.51627,-1.532782,DL14UB
DL1 4WD,54.51681,-1.503658,DL14WD
DL1 5QT,54.52373,-1.552812,DL15QT
DL1 5RF,54.52338,-1.55518,DL15RF
DL1 5SF,54.52219,-1.555625,DL15SF
DL10 4DQ,54.40576,-1.735277,DL104DQ
DL10 4QA,54.40362,-1.738911,DL104QA
DL10 5NY,54.46079,-1.704134,DL105NY
DL10 7EU,54.39659,-1.715776,DL107EU
DL12 0QB,54.62339,-2.08353,DL120QB
DL14 6FQ,54.649,-1.681958,DL146FQ
DL14 6JU,54.65081,-1.6854,DL146JU
DL14 6XB,54.64761,-1.668007,DL146XB
DL14 6XG,54.64651,-1.669085,DL146XG
DL14 7EQ,54.66236,-1.675545,DL147EQ
DL15 0PW,54.70972,-1.693358,DL150PW
DL15 9ES,54.71545,-1.745564,DL159ES
DL16 6DB,54.69878,-1.602064,DL166DB
DL16 6DL,54.70266,-1.593833,DL166DL
DL16 7RS,54.6983,-1.588973,DL167RS
DL17 8JP,54.68742,-1.557502,DL178JP
DL17 8LH,54.69075,-1.561902,DL178LH
DL2 1DL,54.50807,-1.53496,DL21DL
DL2 2DR,54.48338,-1.543205,DL22DR
DL3 0PH,54.54637,-1.572305,DL30PH
DL3 7AP,54.52654,-1.562902,DL37AP
DL3 7NR,54.5258,-1.557533,DL37NR
DL3 7TR,54.52506,-1.560384,DL37TR
DL3 8BA,54.52262,-1.592082,DL38BA
DL3 8QF,54.51715,-1.565953,DL38QF
DL3 9LN,54.53055,-1.567835,DL39LN
DL4 2RF,54.62468,-1.64253,DL42RF
DL5 6AH,54.59618,-1.57553,DL56AH
DL5 6XP,54.60263,-1.570107,DL56XP
DL5 6ZE,54.60051,-1.568783,DL56ZE
DL5 7EA,54.62078,-1.591551,DL57EA
DL5 7ER,54.62293,-1.593032,DL57ER
DL5 7LJ,54.62386,-1.600442,DL57LJ
DL6 1HN,54.33673,-1.422685,DL61HN
DL6 1HQ,54.34003,-1.419209,DL61HQ
DL6 2NA,54.35019,-1.441205,DL62NA
DL6 2NJ,54.3502,-1.438374,DL62NJ
DL6 2NQ,54.34912,-1.440158,DL62NQ
DL6 2RB,54.36059,-1.42903,DL62RB
DL7 8PY,54.34021,-1.433449,DL78PY
DL7 8TG,54.33426,-1.440052,DL78TG
DL7 9QJ,54.32364,-1.489795,DL79QJ
DL8 3HF,54.30587,-2.103951,DL83HF
DL8 5AB,54.31165,-1.832282,DL85AB
DL8 5BX,54.30632,-1.819702,DL85BX
DL9 4AT,54.37994,-1.719694,DL94AT
DL9 4QJ,54.37641,-1.692131,DL94QJ
DL9 4QN,54.37701,-1.689356,DL94QN
DN1 1LD,53.52419,-1.134678,DN11LD
DN1 2AA,53.52096,-1.128499,DN12AA
DN1 2DJ,53.5215,-1.125758,DN12DJ
DN1 2PZ,53.52597,-1.127643,DN12PZ
DN1 2QP,53.5268,-1.128259,DN12QP
DN1 2QQ,53.52409,-1.128134,DN12QQ
DN1 3LW,53.52195,-1.132476,DN13LW
DN10 5BU,53.41712,-0.971041,DN105BU
DN11 0LP,53.47596,-1.075073,DN110LP
DN11 8DE,53.41766,-1.057259,DN118DE
DN11 8JU,53.41622,-1.067974,DN118JU
DN11 8LJ,53.41688,-1.078672,DN118LJ
DN12 1AB,53.48385,-1.18874,DN121AB
DN12 1BS,53.48486,-1.188555,DN121BS
DN12 1EX,53.48137,-1.194423,DN121EX
DN12 1JN,53.4798,-1.186512,DN121JN
DN12 3JD,53.48427,-1.229677,DN123JD
DN12 3JX,53.48269,-1.238069,DN123JX
DN14 5DS,53.7039,-0.869231,DN145DS
DN14 5DX,53.70398,-0.869956,DN145DX
DN14 6AR,53.70815,-0.880767,DN146AR
DN14 6SQ,53.70385,-0.877852,DN146SQ
DN14 8QP,53.69785,-0.960287,DN148QP
DN14 9DJ,53.68993,-1.016998,DN149DJ
DN15 6HL,53.59335,-0.648007,DN156HL
DN15 6JH,53.58773,-0.64944,DN156JH
DN15 6LB,53.5899,-0.65212,DN156LB
DN15 7PA,53.58709,-0.653403,DN157PA
DN15 9YG,53.61796,-0.658847,DN159YG
DN15 9YH,53.61501,-0.662206,DN159YH
DN16 1EU,53.58009,-0.637554,DN161EU
DN16 2HF,53.57211,-0.64595,DN162HF
DN16 2SH,53.56704,-0.649026,DN162SH
DN16 3RN,53.56915,-0.619693,DN163RN
DN17 1QQ,53.57345,-0.677396,DN171QQ
DN17 2PG,53.55726,-0.660449,DN172PG
DN17 3HJ,53.57879,-0.739398,DN173HJ
DN18 5QA,53.68681,-0.444292,DN185QA
DN19 7BW,53.67551,-0.380216,DN197BW
DN2 5BE,53.52772,-1.120094,DN25BE
DN2 5BQ,53.52853,-1.119036,DN25BQ
DN2 5YL,53.54303,-1.086532,DN25YL
DN20 0AF,53.56376,-0.549039,DN200AF
DN20 9RU,53.50864,-0.524035,DN209RU
DN21 1DY,53.38972,-0.748177,DN211DY
DN21 2JR,53.40178,-0.775861,DN212JR
DN21 3DL,53.44202,-0.811592,DN213DL
DN21 4LX,53.47609,-0.589174,DN214LX
DN21 5JZ,53.35089,-0.68569,DN215JZ
DN22 6RS,53.32759,-0.936828,DN226RS
DN22 6TQ,53.33409,-0.936997,DN226TQ
DN22 7GR,53.33417,-0.961233,DN227GR
DN22 7SW,53.31509,-0.950212,DN227SW
DN22 7UX,53.3242,-0.946521,DN227UX
DN22 7WF,53.33608,-0.960195,DN227WF
DN3 1HP,53.5617,-1.072332,DN31HP
DN3 1HR,53.5586,-1.074423,DN31HR
DN3 1QL,53.55853,-1.078002,DN31QL
DN3 1QS,53.55811,-1.076124,DN31QS
DN3 2AQ,53.53912,-1.069249,DN32AQ
DN3 2FP,53.53344,-1.071304,DN32FP
DN3 2FS,53.53555,-1.072918,DN32FS
DN31 1NB,53.56456,-0.084114,DN311NB
DN31 2AB,53.56351,-0.094506,DN312AB
DN31 2AW,53.56315,-0.094627,DN312AW
DN31 2BN,53.56845,-0.109521,DN312BN
DN31 2QE,53.57314,-0.097123,DN312QE
DN31 3AG,53.57425,-0.076095,DN313AG
DN31 3EF,53.57494,-0.07401,DN313EF
DN31 3EW,53.57508,-0.071617,DN313EW
DN32 0LT,53.56288,-0.081789,DN320LT
DN32 7DH,53.57412,-0.072023,DN327DH
DN32 7DS,53.57216,-0.074543,DN327DS
DN32 7QN,53.57229,-0.066866,DN327QN
DN32 9DZ,53.56755,-0.072125,DN329DZ
DN32 9RU,53.55261,-0.070162,DN329RU
DN32 9SJ,53.55772,-0.066985,DN329SJ
DN33 2LY,53.53732,-0.092875,DN332LY
DN33 3GL,53.54206,-0.111905,DN333GL
DN35 7ET,53.56572,-0.041932,DN357ET
DN35 7LB,53.56335,-0.037949,DN357LB
DN35 8HP,53.55822,-0.030622,DN358HP
DN36 4AW,53.53492,-0.045767,DN364AW
DN36 4QS,53.52244,-0.062407,DN364QS
DN36 4SP,53.52464,-0.052818,DN364SP
DN37 9BN,53.57179,-0.120035,DN379BN
DN37 9TT,53.58564,-0.130102,DN379TT
DN4 0AB,53.50636,-1.15413,DN40AB
DN4 0RP,53.50422,-1.158198,DN40RP
DN4 5HP,53.51679,-1.112554,DN45HP
DN4 5HX,53.51292,-1.130595,DN45HX
DN4 5JW,53.50979,-1.112956,DN45JW
DN4 5NL,53.50937,-1.120791,DN45NL
DN4 8BE,53.50767,-1.143459,DN48BE
DN4 8DE,53.50299,-1.127843,DN48DE
DN4 8QG,53.49802,-1.152502,DN48QG
DN4 8QP,53.49483,-1.145978,DN48QP
DN4 9BW,53.49109,-1.164848,DN49BW
DN4 9PE,53.50229,-1.178815,DN49PE
DN40 1PU,53.61369,-0.218557,DN401PU
DN5 0HP,53.55655,-1.149401,DN50HP
DN5 9AB,53.54227,-1.152132,DN59AB
DN6 0AA,53.61264,-1.151857,DN60AA
DN6 0HP,53.62223,-1.098945,DN60HP
DN6 7FE,53.57466,-1.207649,DN67FE
DN6 7JL,53.55436,-1.185884,DN67JL
DN6 7SU,53.56922,-1.199868,DN67SU
DN6 7SY,53.56789,-1.202536,DN67SY
DN7 4FG,53.56192,-1.036546,DN74FG
DN8 4AG,53.61404,-0.963724,DN84AG
DN8 4FD,53.6211,-0.9533,DN84FD
DN8 4PR,53.62894,-0.949749,DN84PR
DN8 5BB,53.61185,-0.960346,DN85BB
DN9 1RL,53.49083,-0.776524,DN91RL
DN9 3QR,53.48966,-1.009891,DN93QR
DN9 3RH,53.48256,-1.014998,DN93RH
DT1 1AQ,50.71293,-2.439697,DT11AQ
DT1 1DH,50.71336,-2.437718,DT11DH
DT1 1HY,50.71624,-2.436413,DT11HY
DT1 1NJ,50.71315,-2.426087,DT11NJ
DT1 1PF,50.71097,-2.423476,DT11PF
DT1 1PW,50.7107,-2.435568,DT11PW
DT1 1RX,50.71366,-2.442805,DT11RX
DT1 1UP,50.71484,-2.440579,DT11UP
DT1 1UW,50.71509,-2.438867,DT11UW
DT1 1XJ,50.71671,-2.440681,DT11XJ
DT1 3AE,50.71248,-2.46302,DT13AE
DT1 3AZ,50.71188,-2.4663,DT13AZ
DT1 3BN,50.71217,-2.468356,DT13BN
DT1 3DA,50.71535,-2.464861,DT13DA
DT1 3EX,50.71398,-2.461363,DT13EX
DT1 3GR,50.71063,-2.460424,DT13GR
DT1 3SQ,50.71504,-2.469802,DT13SQ
DT1 3WA,50.71047,-2.461216,DT13WA
DT1 3WB,50.71246,-2.462637,DT13WB
DT1 3WE,50.71452,-2.463026,DT13WE
DT10 2NJ,50.956,-2.372921,DT102NJ
DT11 7BX,50.86,-2.164345,DT117BX
DT11 7DX,50.85584,-2.163379,DT117DX
DT11 7HX,50.86174,-2.161751,DT117HX
DT3 4LS,50.62444,-2.497694,DT34LS
DT4 0AB,50.61103,-2.460566,DT40AB
DT4 0JX,50.61113,-2.469852,DT40JX
DT4 0SY,50.61269,-2.482065,DT40SY
DT4 7BS,50.61875,-2.458309,DT47BS
DT4 7PY,50.62043,-2.457223,DT47PY
DT4 8QB,50.5992,-2.45956,DT48QB
DT4 9DN,50.60692,-2.489638,DT49DN
DT4 9NR,50.5918,-2.478404,DT49NR
DT5 1FA,50.5676,-2.448478,DT51FA
DT5 2DP,50.52949,-2.442136,DT52DP
DT5 2NA,50.52841,-2.452791,DT52NA
DT6 3JP,50.73498,-2.756967,DT63JP
DT6 3NR,50.73289,-2.757954,DT63NR
DT6 5HZ,50.76751,-2.759691,DT65HZ
DT8 3AX,50.80908,-2.738508,DT83AX
DT9 4FS,50.95144,-2.524573,DT94FS
DT9 4HP,50.95155,-2.517669,DT94HP
DY1 1DU,52.51069,-2.086191,DY11DU
DY1 1HH,52.51223,-2.083365,DY11HH
DY1 1JJ,52.51119,-2.08659,DY11JJ
DY1 1QJ,52.50969,-2.084893,DY11QJ
DY1 2DL,52.50518,-2.101414,DY12DL
DY1 2LH,52.50806,-2.109037,DY12LH
DY1 2UF,52.52433,-2.111244,DY12UF
DY1 3AD,52.51101,-2.089154,DY13AD
DY1 4FA,52.52461,-2.08554,DY14FA
DY10 1AL,52.38279,-2.248683,DY101AL
DY10 1AQ,52.38263,-2.24999,DY101AQ
DY10 2BX,52.39145,-2.237578,DY102BX
DY10 2JA,52.39002,-2.248386,DY102JA
DY10 2NX,52.40299,-2.222324,DY102NX
DY10 3TU,52.41958,-2.227422,DY103TU
DY10 4TU,52.36737,-2.237655,DY104TU
DY11 5HP,52.39793,-2.263127,DY115HP
DY11 6RX,52.38765,-2.257659,DY116RX
DY11 6YX,52.38904,-2.261399,DY116YX
DY11 7FH,52.37142,-2.260017,DY117FH
DY11 7NN,52.37424,-2.272798,DY117NN
DY11 7QL,52.36401,-2.265202,DY117QL
DY11 7QN,52.3589,-2.266316,DY117QN
DY12 2AP,52.37562,-2.316302,DY122AP
DY12 2ET,52.37166,-2.320357,DY122ET
DY13 0JN,52.32533,-2.290398,DY130JN
DY13 8ES,52.34266,-2.278666,DY138ES
DY13 9AW,52.34072,-2.27293,DY139AW
DY13 9BZ,52.34071,-2.271711,DY139BZ
DY14 8LF,52.41182,-2.458373,DY148LF
DY2 0AL,52.48296,-2.088905,DY20AL
DY2 0DX,52.47583,-2.085254,DY20DX
DY2 0LY,52.48967,-2.08531,DY20LY
DY2 0PH,52.49399,-2.0866,DY20PH
DY2 0TQ,52.49815,-2.106479,DY20TQ
DY2 7DN,52.50879,-2.076404,DY27DN
DY2 7DT,52.50897,-2.076965,DY27DT
DY2 8NZ,52.50945,-2.08308,DY28NZ
DY2 8PS,52.50843,-2.084493,DY28PS
DY2 8ST,52.50227,-2.082006,DY28ST
DY2 9AF,52.50028,-2.087924,DY29AF
DY3 1HP,52.54016,-2.11699,DY31HP
DY3 1UH,52.53197,-2.117794,DY31UH
DY3 2ND,52.51863,-2.130314,DY32ND
DY4 0NZ,52.53758,-2.051612,DY40NZ
DY4 7PG,52.52989,-2.051573,DY47PG
DY4 7UF,52.51501,-2.062725,DY47UF
DY4 8BJ,52.52826,-2.070999,DY48BJ
DY4 8TF,52.52977,-2.058,DY48TF
DY4 8XP,52.5175,-2.063834,DY48XP
DY4 9DD,52.53401,-2.072129,DY49DD
DY4 9ET,52.53976,-2.072109,DY49ET
DY4 9RY,52.5347,-2.062238,DY49RY
DY5 1HA,52.48454,-2.121245,DY51HA
DY5 1LA,52.49303,-2.112535,DY51LA
DY5 1RU,52.48174,-2.117836,DY51RU
DY5 1TA,52.47668,-2.1137,DY51TA
DY5 1XN,52.48711,-2.114758,DY51XN
DY5 3DY,52.48256,-2.124199,DY53DY
DY5 3JA,52.48603,-2.129923,DY53JA
DY5 3LQ,52.4739,-2.138323,DY53LQ
DY5 3QD,52.47759,-2.128219,DY53QD
DY5 3XT,52.48701,-2.132105,DY53XT
DY6 0JT,52.50529,-2.180587,DY60JT
DY6 7YB,52.50089,-2.152815,DY67YB
DY6 7YD,52.50141,-2.153568,DY67YD
DY6 8AP,52.49753,-2.163276,DY68AP
DY6 8XF,52.49965,-2.145269,DY68XF
DY7 6HF,52.44809,-2.22854,DY76HF
DY7 6HT,52.44785,-2.235836,DY76HT
DY8 1DW,52.45715,-2.146777,DY81DW
DY8 1HE,52.45686,-2.145495,DY81HE
DY8 1PA,52.45444,-2.146959,DY81PA
DY8 2JL,52.44677,-2.140798,DY82JL
DY8 3SS,52.46123,-2.157328,DY83SS
DY8 4HF,52.46733,-2.15314,DY84HF
DY8 5YW,52.47462,-2.154785,DY85YW
DY9 0NJ,52.41907,-2.143739,DY90NJ
DY9 8AY,52.45294,-2.11024,DY98AY
DY9 8SS,52.45623,-2.107349,DY98SS
DY9 8XP,52.45095,-2.111176,DY98XP
E1 0AG,51.51339,-0.054008,E10AG
E1 0FB,51.51515,-0.048254,E10FB
E1 0SG,51.51421,-0.050341,E10SG
E1 1BJ,51.51932,-0.057301,E11BJ
E1 1DU,51.51702,-0.068267,E11DU
E1 1EJ,51.51579,-0.065494,E11EJ
E1 1EW,51.51676,-0.067672,E11EW
E1 1NL,51.51467,-0.063033,E11NL
E1 1PX,51.51495,-0.062502,E11PX
E1 1RD,51.515,-0.063797,E11RD
E1 2AS,51.51567,-0.060339,E12AS
E1 2BJ,51.51657,-0.05762,E12BJ
E1 2DA,51.51498,-0.060974,E12DA
E1 2DE,51.51519,-0.059552,E12DE
E1 3BG,51.51741,-0.054557,E13BG
E1 3BS,51.51976,-0.052871,E13BS
E1 3FT,51.52046,-0.041886,E13FT
